year,name,sex,n
1880,Andrew,M,644
1881,Andrew,F,5
1881,Andrew,M,588
1882,Andrew,M,673
1883,Andrew,M,623
1884,Andrew,M,616
1885,Andrew,M,599
1886,Andrew,F,5
1886,Andrew,M,614
1887,Andrew,M,520
1888,Andrew,M,615
1889,Andrew,M,561
1890,Andrew,M,575
1891,Andrew,M,521
1892,Andrew,M,637
1893,Andrew,M,520
1894,Andrew,M,594
1895,Andrew,M,562
1896,Andrew,M,566
1897,Andrew,M,555
1898,Andrew,F,10
1898,Andrew,M,611
1899,Andrew,M,578
1900,Andrew,M,718
1901,Andrew,M,479
1902,Andrew,M,558
1903,Andrew,M,550
1904,Andrew,M,546
1905,Andrew,M,619
1906,Andrew,M,611
1907,Andrew,M,708
1908,Andrew,M,722
1909,Andrew,M,766
1910,Andrew,F,8
1910,Andrew,M,884
1911,Andrew,F,6
1911,Andrew,M,1098
1912,Andrew,F,8
1912,Andrew,M,1946
1913,Andrew,F,8
1913,Andrew,M,2222
1914,Andrew,F,12
1914,Andrew,M,2965
1915,Andrew,F,21
1915,Andrew,M,3573
1916,Andrew,F,16
1916,Andrew,M,3723
1917,Andrew,F,12
1917,Andrew,M,3752
1918,Andrew,F,17
1918,Andrew,M,4138
1919,Andrew,F,21
1919,Andrew,M,3851
1920,Andrew,F,22
1920,Andrew,M,4026
1921,Andrew,F,17
1921,Andrew,M,4015
1922,Andrew,F,24
1922,Andrew,M,3803
1923,Andrew,F,25
1923,Andrew,M,3748
1924,Andrew,F,24
1924,Andrew,M,3744
1925,Andrew,F,15
1925,Andrew,M,3617
1926,Andrew,F,26
1926,Andrew,M,3344
1927,Andrew,F,35
1927,Andrew,M,3437
1928,Andrew,F,35
1928,Andrew,M,3142
1929,Andrew,F,29
1929,Andrew,M,3076
1930,Andrew,F,24
1930,Andrew,M,3056
1931,Andrew,F,30
1931,Andrew,M,2714
1932,Andrew,F,23
1932,Andrew,M,2645
1933,Andrew,F,16
1933,Andrew,M,2344
1934,Andrew,F,23
1934,Andrew,M,2443
1935,Andrew,F,17
1935,Andrew,M,2291
1936,Andrew,F,12
1936,Andrew,M,2276
1937,Andrew,F,14
1937,Andrew,M,2405
1938,Andrew,F,8
1938,Andrew,M,2411
1939,Andrew,F,12
1939,Andrew,M,2440
1940,Andrew,F,13
1940,Andrew,M,2431
1941,Andrew,F,14
1941,Andrew,M,2708
1942,Andrew,F,17
1942,Andrew,M,3142
1943,Andrew,F,16
1943,Andrew,M,3352
1944,Andrew,F,16
1944,Andrew,M,3056
1945,Andrew,F,14
1945,Andrew,M,3007
1946,Andrew,F,15
1946,Andrew,M,3758
1947,Andrew,F,12
1947,Andrew,M,4346
1948,Andrew,F,11
1948,Andrew,M,4305
1949,Andrew,F,22
1949,Andrew,M,4513
1950,Andrew,F,18
1950,Andrew,M,4932
1951,Andrew,F,16
1951,Andrew,M,5373
1952,Andrew,F,12
1952,Andrew,M,5572
1953,Andrew,F,20
1953,Andrew,M,5626
1954,Andrew,F,16
1954,Andrew,M,5653
1955,Andrew,F,24
1955,Andrew,M,6012
1956,Andrew,F,22
1956,Andrew,M,6603
1957,Andrew,F,25
1957,Andrew,M,6997
1958,Andrew,F,31
1958,Andrew,M,7115
1959,Andrew,F,25
1959,Andrew,M,7089
1960,Andrew,F,24
1960,Andrew,M,8201
1961,Andrew,F,24
1961,Andrew,M,8483
1962,Andrew,F,37
1962,Andrew,M,8697
1963,Andrew,F,34
1963,Andrew,M,9514
1964,Andrew,F,39
1964,Andrew,M,10494
1965,Andrew,F,35
1965,Andrew,M,9673
1966,Andrew,F,51
1966,Andrew,M,10235
1967,Andrew,F,49
1967,Andrew,M,9967
1968,Andrew,F,58
1968,Andrew,M,10563
1969,Andrew,F,42
1969,Andrew,M,11282
1970,Andrew,F,51
1970,Andrew,M,11989
1971,Andrew,F,54
1971,Andrew,M,10911
1972,Andrew,F,45
1972,Andrew,M,10111
1973,Andrew,F,52
1973,Andrew,M,10728
1974,Andrew,F,56
1974,Andrew,M,11778
1975,Andrew,F,60
1975,Andrew,M,12756
1976,Andrew,F,57
1976,Andrew,M,13301
1977,Andrew,F,77
1977,Andrew,M,16017
1978,Andrew,F,84
1978,Andrew,M,16720
1979,Andrew,F,127
1979,Andrew,M,18618
1980,Andrew,F,94
1980,Andrew,M,19730
1981,Andrew,F,116
1981,Andrew,M,20232
1982,Andrew,F,158
1982,Andrew,M,22833
1983,Andrew,F,186
1983,Andrew,M,25559
1984,Andrew,F,152
1984,Andrew,M,25916
1985,Andrew,F,207
1985,Andrew,M,30178
1986,Andrew,F,212
1986,Andrew,M,33858
1987,Andrew,F,223
1987,Andrew,M,36206
1988,Andrew,F,213
1988,Andrew,M,35745
1989,Andrew,F,147
1989,Andrew,M,34817
1990,Andrew,F,105
1990,Andrew,M,33673
1991,Andrew,F,93
1991,Andrew,M,31539
1992,Andrew,F,101
1992,Andrew,M,30542
1993,Andrew,F,74
1993,Andrew,M,27326
1994,Andrew,F,64
1994,Andrew,M,26019
1995,Andrew,F,56
1995,Andrew,M,25860
1996,Andrew,F,45
1996,Andrew,M,25244
1997,Andrew,F,50
1997,Andrew,M,25208
1998,Andrew,F,52
1998,Andrew,M,23664
1999,Andrew,F,39
1999,Andrew,M,23866
2000,Andrew,F,45
2000,Andrew,M,23658
2001,Andrew,F,44
2001,Andrew,M,22422
2002,Andrew,F,32
2002,Andrew,M,22037
2003,Andrew,F,39
2003,Andrew,M,22162
2004,Andrew,F,101
2004,Andrew,M,21717
2005,Andrew,F,32
2005,Andrew,M,20742
2006,Andrew,F,22
2006,Andrew,M,19733
2007,Andrew,F,28
2007,Andrew,M,18461
2008,Andrew,F,30
2008,Andrew,M,16779
2009,Andrew,F,22
2009,Andrew,M,14877
2010,Andrew,F,15
2010,Andrew,M,14269
2011,Andrew,F,11
2011,Andrew,M,13297
2012,Andrew,F,21
2012,Andrew,M,12643
2013,Andrew,F,14
2013,Andrew,M,11684
2014,Andrew,F,11
2014,Andrew,M,11189
2015,Andrew,F,10
2015,Andrew,M,10147
2016,Andrew,F,16
2016,Andrew,M,9437
2017,Andrew,F,14
2017,Andrew,M,8290
2018,Andrew,F,10
2018,Andrew,M,7315
2019,Andrew,F,12
2019,Andrew,M,6815
2020,Andrew,F,13
2020,Andrew,M,6068
2021,Andrew,F,7
2021,Andrew,M,5623
2022,Andrew,F,7
2022,Andrew,M,5168
2023,Andrew,F,6
2023,Andrew,M,4812
2024,Andrew,F,11
2024,Andrew,M,4791
2025,Andrew,F,6
2025,Andrew,M,4497
